['09:19:33', 11875, 11885, 140169, 98621, 67246, 14398, 23920, 79891, 108883, 145468, 5299, 10262, 12645, 9522]
['09:19:43', 11870, 11875, 117087, 93222, 55803, 9034, 16800, 54372, 102653, 167615, 50528, 9431, -1431, 7766]
['09:19:53', 11870, 11875, 121691, 99726, 60141, 13347, 10737, 58233, 109876, 171628, 49937, 10150, -1908, -2610]
['09:20:03', 11865, 11870, 88701, 70707, 34378, 1256, 25923, 55610, 108619, 165895, 77194, 37912, 21232, 24667]
['09:20:13', 11870, 11875, 105377, 81465, 52874, 9826, 643, 69017, 117597, 182788, 77411, 36132, 16143, -9183]
['09:20:23', 11875, 11880, 110712, 73584, 46465, 10787, 7931, 63248, 103892, 148823, 38111, 30308, 16783, -2856]
['09:20:33', 11875, 11880, 131322, 90005, 39564, 6838, 11685, 79691, 117651, 161904, 30582, 27646, 40127, 4847]
['09:20:43', 11875, 11880, 134436, 93119, 44987, 10060, 3129, 69809, 106858, 152532, 18096, 13739, 24822, -6931]
['09:20:53', 11870, 11875, 136695, 88400, 50283, 9124, 14474, 79150, 128896, 193376, 56681, 40496, 28867, 5350]
['09:21:03', 11880, 11885, 162056, 100772, 34440, 2500, 5271, 51763, 108245, 150153, -11903, 7473, 17323, 2771]
['09:21:13', 11885, 11890, 182915, 117264, 67183, 13020, 2500, 36876, 101582, 130918, -51997, -15682, -30307, -10520]
['09:21:23', 11875, 11880, 141424, 90682, 41252, 3774, 7523, 74929, 114242, 158992, 17568, 23560, 33677, 3749]
['09:21:33', 11885, 11890, 176311, 103872, 50058, 6997, 5087, 46558, 102407, 130454, -45857, -1465, -3500, -1910]
['09:21:43', 11885, 11890, 199623, 126500, 72019, 15105, 5085, 47243, 111306, 138748, -60875, -15194, -24776, -10020]
['09:21:53', 11880, 11885, 164330, 104243, 42858, 7820, 7534, 72210, 125189, 165258, 928, 20946, 29352, -286]
['09:22:03', 11885, 11890, 193406, 128424, 72317, 18813, 20686, 56076, 107599, 131675, -61731, -20825, -16241, 1873]
['09:22:13', 11890, 11895, 170198, 121953, 57663, 9308, 17258, 59030, 116061, 142660, -27538, -5892, 1367, 7950]
['09:22:23', 11880, 11885, 161083, 98410, 44712, 14898, 4383, 82792, 120633, 164039, 2956, 22223, 38080, -10515]
['09:22:33', 11885, 11890, 160288, 97446, 43747, 5194, 21172, 62367, 126149, 148193, -12095, 28703, 18620, 15978]
['09:22:43', 11890, 11895, 159580, 112540, 47267, 1240, 22147, 58310, 116490, 143195, -16385, 3950, 11043, 20907]
['09:22:53', 11895, 11900, 151345, 113700, 49354, 3882, 3457, 50956, 96552, 143975, -7370, -17148, 1602, -425]
['09:23:03', 11900, 11905, 165704, 127160, 81318, 16896, 2500, 50482, 83447, 134909, -30795, -43713, -30836, -14396]
['09:23:13', 11900, 11910, 168446, 123290, 88090, 26207, 21183, 64700, 83605, 130332, -38114, -39685, -23390, -5024]
['09:23:23', 11905, 11910, 149698, 103435, 63234, 9268, 17156, 59455, 88478, 117498, -32200, -14957, -3779, 7888]
['09:23:34', 11915, 11920, 202526, 117411, 66604, 35941, 10006, 46575, 76587, 92186, -110340, -40824, -20029, -25935]
['09:23:43', 11915, 11920, 211690, 128343, 77355, 35107, 2749, 48417, 83477, 104986, -106704, -44866, -28938, -32358]
['09:23:53', 11910, 11915, 160772, 113540, 69727, 16838, 3847, 54487, 89986, 103821, -56951, -23554, -15240, -12991]
['09:24:03', 11915, 11920, 208891, 122281, 73452, 29495, 18792, 57998, 92801, 107409, -101482, -29480, -15454, -10703]
['09:24:13', 11920, 11925, 198445, 114229, 66700, 18583, 15048, 65557, 107552, 130081, -68364, -6677, -1143, -3535]
['09:24:23', 11915, 11920, 183999, 94564, 45532, 3025, 8798, 53539, 97145, 118823, -65176, 2581, 8007, 5773]
['09:24:33', 11915, 11920, 199565, 112328, 63174, 10133, 13670, 63028, 102615, 121328, -78237, -9713, -146, 3537]
['09:24:43', 11915, 11920, 210228, 119481, 69307, 16089, 2473, 54923, 94767, 117397, -92831, -24714, -14384, -13616]
['09:24:53', 11920, 11925, 187944, 104704, 50617, 9387, 5206, 57850, 102222, 121964, -65980, -2482, 7233, -4181]
['09:25:04', 11930, 11935, 205041, 143315, 52126, 2743, 16145, 54919, 87876, 116378, -88663, -55439, 2793, 13402]
['09:25:14', 11930, 11935, 220455, 157566, 71808, 19475, 3396, 48558, 88130, 120575, -99880, -69436, -23250, -16079]
['09:25:23', 11925, 11930, 183515, 127950, 49168, 4444, 21174, 66827, 106445, 124967, -58548, -21505, 17659, 16730]
['09:25:33', 11930, 11935, 190803, 127099, 54114, 3105, 48019, 97525, 137461, 163766, -27037, 10362, 43411, 44914]
['09:25:43', 11925, 11930, 288072, 231951, 155138, 13847, 307, 51631, 97267, 120416, -167656, -134684, -103507, -13540]
['09:25:53', 11920, 11925, 269984, 207833, 160624, 12958, 10, 45391, 92076, 116547, -153437, -115757, -115233, -12948]
['09:26:03', 11920, 11925, 255557, 186064, 136593, 7972, 18889, 78098, 113363, 130911, -124646, -72701, -58495, 10917]
['09:26:13', 11925, 11930, 294671, 238263, 163064, 22955, 45, 52283, 100814, 128450, -166221, -137449, -110781, -22910]
['09:26:23', 11925, 11935, 293014, 235194, 167316, 113565, 24917, 73821, 113394, 131660, -161354, -121800, -93495, -88648]
['09:26:33', 11930, 11935, 294481, 236634, 168043, 114797, 725, 46429, 98089, 138836, -155645, -138545, -121614, -114072]
['09:26:43', 11930, 11935, 286363, 227762, 153841, 107414, 15583, 66204, 104399, 140373, -145990, -123363, -87637, -91831]
['09:26:54', 11935, 11940, 210478, 172408, 115499, 30196, 21, 50931, 83150, 112230, -98248, -89258, -64568, -30175]
['09:27:03', 11925, 11935, 206069, 148871, 76795, 18791, 5777, 58934, 91865, 110286, -95783, -57006, -17861, -13014]
['09:27:13', 11930, 11935, 196480, 138617, 61812, 4738, 21220, 92690, 122603, 149903, -46577, -16014, 30878, 16482]
['09:27:23', 11930, 11935, 234930, 167650, 82357, 16740, 6239, 70390, 105554, 137677, -97253, -62096, -11967, -10501]
['09:27:33', 11930, 11935, 228763, 160968, 70686, 8820, 15502, 84833, 114889, 142180, -86583, -46079, 14147, 6682]
['09:27:43', 11930, 11935, 223068, 155131, 64631, 2603, 11803, 78147, 108205, 136603, -86465, -46926, 13516, 9200]
['09:27:53', 11930, 11935, 226325, 158348, 67676, 3297, 3843, 64021, 99979, 129511, -96814, -58369, -3655, 546]
